CURSO_ACADEMICO;TIPO_ESTUDIO;ESTUDIO;LOCALIDAD;CENTRO;ASIGNATURA;TIPO_ASIGNATURA;CLASE_ASIGNATURA;TASA_EXITO;TASA_RENDIMIENTO;TASA_EVALUACION;ALUMNOS_EVALUADOS;ALUMNOS_SUPERADOS;ALUMNOS_PRESENTADOS;MEDIA_CONVOCATORIAS_CONSUMIDAS;FECHA_ACTUALIZACION
2020;Grado;Grado: Enfermería;Teruel;Escuela Universitaria de Enfermería de Teruel;Administración y gestión de enfermería;Normal;Obligatoria;96.77;96.77;100.00;31;30;31;1.03;04/09/2022
2020;Grado;Grado: Enfermería;Zaragoza;Facultad de Ciencias de la Salud;Inglés científico para enfermería;Normal;Optativa;100.00;98.48;98.48;66;65;65;1.00;04/09/2022
2020;Grado;Grado: Enfermería;Huesca;Escuela Universitaria de Enfermería San Jorge de Huesca;Inglés científico para enfermería;Normal;Optativa;100.00;100.00;100.00;22;22;22;1.03;04/09/2022
2020;Grado;Grado: Enfermería;Teruel;Escuela Universitaria de Enfermería de Teruel;Inglés científico para enfermería;Normal;Optativa;100.00;100.00;100.00;14;14;14;1.00;04/09/2022
2020;Grado;Grado: Filosofía;Zaragoza;Facultad de Filosofía y Letras;Filosofía y política en el mundo contemporáneo;Normal;Formación básica;100.00;89.06;89.06;64;57;57;1.00;04/09/2022
2020;Grado;Grado: Filosofía;Zaragoza;Facultad de Filosofía y Letras;Antropología filosófica;Normal;Formación básica;94.74;84.38;89.06;64;54;57;1.05;04/09/2022
2020;Grado;Grado: Filosofía;Zaragoza;Facultad de Filosofía y Letras;Introducción a los problemas filosóficos;Normal;Formación básica;;;;1;0;0;1.00;04/09/2022
2020;Grado;Grado: Filosofía;Zaragoza;Facultad de Filosofía y Letras;Teorías éticas;Normal;Formación básica;80.70;66.67;82.61;69;46;57;1.28;04/09/2022
2020;Grado;Grado: Filosofía;Zaragoza;Facultad de Filosofía y Letras;Filosofía de la cultura;Normal;Formación básica;68.52;55.22;80.60;67;37;54;1.24;04/09/2022
2020;Grado;Grado: Filosofía;Zaragoza;Facultad de Filosofía y Letras;Pensamiento feminista;Normal;Formación básica;93.10;72.97;78.38;74;54;58;1.18;04/09/2022
2020;Grado;Grado: Filosofía;Zaragoza;Facultad de Filosofía y Letras;Epistemología de las ciencias humanas;Normal;Formación básica;95.16;89.39;93.94;66;59;62;1.05;04/09/2022
2020;Grado;Grado: Filosofía;Zaragoza;Facultad de Filosofía y Letras;Introducción a la lógica;Normal;Formación básica;77.36;54.67;70.67;75;41;53;1.19;04/09/2022
2020;Grado;Grado: Filosofía;Zaragoza;Facultad de Filosofía y Letras;Teorías filosóficas de la ciudadanía;Normal;Formación básica;93.75;69.23;73.85;65;45;48;1.20;04/09/2022
2020;Grado;Grado: Filosofía;Zaragoza;Facultad de Filosofía y Letras;Filosofía de la imagen;Normal;Formación básica;94.34;72.46;76.81;69;50;53;1.13;04/09/2022
2020;Grado;Grado: Filosofía;Zaragoza;Facultad de Filosofía y Letras;Lógica formal;Normal;Obligatoria;97.50;81.25;83.33;48;39;40;1.26;04/09/2022
2020;Grado;Grado: Filosofía;Zaragoza;Facultad de Filosofía y Letras;Teoría del conocimiento;Normal;Obligatoria;88.89;70.18;78.95;57;40;45;1.44;04/09/2022
2020;Grado;Grado: Filosofía;Zaragoza;Facultad de Filosofía y Letras;Filosofía política I;Normal;Obligatoria;100.00;87.23;87.23;47;41;41;1.00;04/09/2022
2020;Grado;Grado: Filosofía;Zaragoza;Facultad de Filosofía y Letras;Historia de la filosofía antigua I;Normal;Obligatoria;97.56;81.63;83.67;49;40;41;1.31;04/09/2022
2020;Grado;Grado: Filosofía;Zaragoza;Facultad de Filosofía y Letras;Historia de la filosofía medieval;Normal;Obligatoria;94.59;70.00;74.00;50;35;37;1.08;04/09/2022
2020;Grado;Grado: Filosofía;Zaragoza;Facultad de Filosofía y Letras;Filosofía del lenguaje;Normal;Obligatoria;97.37;74.00;76.00;50;37;38;1.21;04/09/2022
