CURSO_ACADEMICO;ESTUDIO;LOCALIDAD;CENTRO;TIPO_CENTRO;TIPO_ESTUDIO;PLAZAS_OFERTADAS;PLAZAS_MATRICULADAS;PLAZAS_SOLICITADAS;INDICE_OCUPACION;FECHA_ACTUALIZACION
2020;Máster: Estudios Avanzados sobre el Lenguaje, la Comunicación y sus Patologías;Huesca;Facultad de Ciencias Humanas y de la Educación;Facultad;Máster;20;19;73;95.00;07/11/2021
2020;Máster: Ingeniería Química;Zaragoza;Escuela de Ingeniería y Arquitectura;Facultad;Máster;40;19;36;47.50;07/11/2021
2020;Máster: Ingeniería Industrial;Zaragoza;Escuela de Ingeniería y Arquitectura;Facultad;Máster;219;71;124;32.42;07/11/2021
2020;Máster: Ingeniería de Telecomunicación;Zaragoza;Escuela de Ingeniería y Arquitectura;Facultad;Máster;30;7;14;23.33;07/11/2021
2020;Máster: Ingeniería Informática;Zaragoza;Escuela de Ingeniería y Arquitectura;Facultad;Máster;60;7;21;11.67;07/11/2021
2020;Máster: Ingeniería Mecánica;Zaragoza;Escuela de Ingeniería y Arquitectura;Facultad;Máster;24;16;42;66.67;07/11/2021
2020;Máster: Química Industrial;Zaragoza;Facultad de Ciencias;Facultad;Máster;50;22;43;44.00;07/11/2021
2020;Máster: Geología: Técnicas y Aplicaciones;Zaragoza;Facultad de Ciencias;Facultad;Máster;20;10;18;50.00;07/11/2021
2020;Máster: Química Molecular y Catálisis Homogénea;Zaragoza;Facultad de Ciencias;Facultad;Máster;25;23;44;92.00;07/11/2021
2020;Máster: Auditoría;Zaragoza;Facultad de Economía y Empresa;Facultad;Máster;32;31;101;96.88;07/11/2021
2020;Máster: Ingeniería Agronómica;Huesca;Escuela Politécnica Superior;Facultad;Máster;40;22;30;55.00;07/11/2021
2020;Máster: Evaluación y Entrenamiento Físico para la Salud;Huesca;Facultad de Ciencias de la Salud y del Deporte;Facultad;Máster;20;14;58;70.00;07/11/2021
2020;Máster: Mundo Antiguo y Patrimonio Arqueológico;Zaragoza;Facultad de Filosofía y Letras;Facultad;Máster;30;11;28;36.67;07/11/2021
2020;Máster: Iniciación a la Investigación en Ciencias de la Enfermería;Zaragoza;Facultad de Ciencias de la Salud;Facultad;Máster;30;10;26;33.33;07/11/2021
2020;Máster: Dirección, Estrategia y Marketing;Zaragoza;Facultad de Economía y Empresa;Facultad;Máster;20;16;132;80.00;07/11/2021
2020;Máster: Psicología General Sanitaria;Teruel;Facultad de Ciencias Sociales y Humanas de Teruel;Facultad;Máster;30;29;423;96.67;07/11/2021
2020;Máster: Ingeniería de Diseño de Producto;Zaragoza;Escuela de Ingeniería y Arquitectura;Facultad;Máster;30;12;37;40.00;07/11/2021
2020;Máster: Consultoría de Información y Comunicación Digital;Zaragoza;Facultad de Filosofía y Letras;Facultad;Máster;25;15;56;60.00;07/11/2021
2020;Máster: Calidad, Seguridad y Tecnología de los Alimentos;Zaragoza;Facultad de Veterinaria;Facultad;Máster;30;25;131;83.33;07/11/2021
