CURSO_ACADEMICO;ESTUDIO;LOCALIDAD;CENTRO;TIPO_CENTRO;TIPO_ESTUDIO;PLAZAS_OFERTADAS;PLAZAS_MATRICULADAS;PLAZAS_SOLICITADAS;INDICE_OCUPACION;FECHA_ACTUALIZACION
2019;Grado: Ingeniería Mecatrónica;Almunia de Doña Godina (La);Escuela Universitaria Politécnica de la Almunia de Doña Godina;Centro adscrito;Grado;56;42;193;75.00;15/11/2020
2019;Grado: Ingeniería Química;Zaragoza;Escuela de Ingeniería y Arquitectura;Facultad;Grado;90;79;466;87.78;15/11/2020
2019;Grado: Lenguas Modernas;Zaragoza;Facultad de Filosofía y Letras;Facultad;Grado;55;53;298;96.36;15/11/2020
2019;Grado: Programa conjunto ADE/Derecho;Zaragoza;Facultad de Derecho;Facultad;Grado;80;80;379;100.00;15/11/2020
2019;Grado: Estudios en Arquitectura;Zaragoza;Escuela de Ingeniería y Arquitectura;Facultad;Grado;70;70;314;100.00;15/11/2020
2019;Grado: Programa conjunto Física-Matemáticas (FisMat);Zaragoza;Facultad de Ciencias;Facultad;Grado;10;10;196;100.00;15/11/2020
2019;Grado: Programa conjunto en Nutrición Humana y Dietética-Ciencias de la Actividad Física y del Deporte;Huesca;Facultad de Ciencias de la Salud y del Deporte;Facultad;Grado;10;10;297;100.00;15/11/2020
2019;Grado: Programa conjunto en Matemáticas-Ingeniería Informática;Zaragoza;Escuela de Ingeniería y Arquitectura;Facultad;Grado;10;10;180;100.00;15/11/2020
2019;Grado: Programa conjunto en Ingeniería Mecatrónica-Ingeniería de Organización  Industrial;Almunia de Doña Godina (La);Escuela Universitaria Politécnica de la Almunia de Doña Godina;Centro adscrito;Grado;10;9;39;90.00;15/11/2020
2019;Máster: Biología Molecular y Celular;Zaragoza;Facultad de Ciencias;Facultad;Máster;30;23;54;76.67;15/11/2020
2019;Máster: Física y Tecnologías Físicas;Zaragoza;Facultad de Ciencias;Facultad;Máster;30;9;26;30.00;15/11/2020
2019;Máster: Gestión del Patrimonio Cultural;Zaragoza;Facultad de Filosofía y Letras;Facultad;Máster;35;33;105;94.29;15/11/2020
2019;Máster: Tec.Información Geográfica para Ordenación Territorio: Sig/Teled;Zaragoza;Facultad de Filosofía y Letras;Facultad;Máster;25;25;69;100.00;15/11/2020
2019;Máster: Gerontología Social;Zaragoza;Facultad de Ciencias de la Salud;Facultad;Máster;36;35;100;97.22;15/11/2020
2019;Máster: Relaciones de Género;Zaragoza;Facultad de Ciencias Sociales y del Trabajo;Facultad;Máster;30;30;82;100.00;15/11/2020
2019;Máster: Contabilidad y finanzas;Zaragoza;Facultad de Economía y Empresa;Facultad;Máster;27;19;66;70.37;15/11/2020
2019;Máster: Economía;Zaragoza;Facultad de Economía y Empresa;Facultad;Máster;30;14;61;46.67;15/11/2020
2019;Máster: Iniciación a la investigación en Medicina;Zaragoza;Facultad de Medicina;Facultad;Máster;60;60;118;100.00;15/11/2020
2019;Máster: Nutrición animal;Zaragoza;Facultad de Veterinaria;Facultad;Máster;23;23;24;100.00;15/11/2020
2019;Máster: Ingeniería biomédica;Zaragoza;Escuela de Ingeniería y Arquitectura;Facultad;Máster;30;28;88;93.33;15/11/2020
2019;Máster: Dirección y planificación del turismo;Huesca;Facultad de Empresa y Gestión Pública;Facultad;Máster;30;23;91;76.67;15/11/2020
2019;Máster: Materiales nanoestructurados para aplicaciones nanotecnológicas;Zaragoza;Facultad de Ciencias;Facultad;Máster;25;14;33;56.00;15/11/2020
2019;Máster: Sociología de las Políticas Públicas y Sociales;Zaragoza;Facultad de Economía y Empresa;Facultad;Máster;25;10;42;40.00;15/11/2020
2019;Máster: Aprendizaje a lo largo de la vida: Iniciación a la investigación;Zaragoza;Facultad de Educación;Facultad;Máster;40;35;82;87.50;15/11/2020
2019;Máster: Investigación y Estudios Avanzados en Historia;Zaragoza;Facultad de Filosofía y Letras;Facultad;Máster;40;12;29;30.00;15/11/2020
2019;Máster: Estudios Avanzados en Historia del Arte;Zaragoza;Facultad de Filosofía y Letras;Facultad;Máster;35;15;47;42.86;15/11/2020
2019;Máster: Energías Renovables y Eficiencia Energética;Zaragoza;Escuela de Ingeniería y Arquitectura;Facultad;Máster;75;27;72;36.00;15/11/2020
2019;Máster: Historia Contemporánea;Zaragoza;Facultad de Filosofía y Letras;Facultad;Máster;40;22;46;55.00;15/11/2020
2019;Máster: Ordenación Territorial y Medioambiental;Zaragoza;Facultad de Filosofía y Letras;Facultad;Máster;25;16;48;64.00;15/11/2020
2019;Máster: Ingeniería Electrónica;Zaragoza;Escuela de Ingeniería y Arquitectura;Facultad;Máster;30;25;41;83.33;15/11/2020
2019;Máster: Profesorado E.S.O., F.P. y Ens. Idiom, Art y Deport;Zaragoza;Facultad de Educación;Facultad;Máster;502;500;1047;99.60;15/11/2020
2019;Máster: Profesorado E.S.O., F.P. y Ens. Idiom, Art y Deport;Huesca;Facultad de Ciencias Humanas y de la Educación;Facultad;Máster;33;30;54;90.91;15/11/2020
2019;Máster: Profesorado E.S.O., F.P. y Ens. Idiom, Art y Deport;Teruel;Facultad de Ciencias Sociales y Humanas de Teruel;Facultad;Máster;33;16;36;48.48;15/11/2020
2019;Máster: Cond. genéticos, nutric. y amb. del crec. y desarrollo;Zaragoza;Facultad de Medicina;Facultad;Máster;25;0;77;0.00;15/11/2020
2019;Máster: Prevención de riesgos laborales;Zaragoza;Facultad de Derecho;Facultad;Máster;30;27;88;90.00;15/11/2020
2019;Máster: Arquitectura;Zaragoza;Escuela de Ingeniería y Arquitectura;Facultad;Máster;80;30;41;37.50;15/11/2020
2019;Máster: Modelización e Investigación Matemática, Estadística y Computación;Zaragoza;Facultad de Ciencias;Facultad;Máster;17;10;23;58.82;15/11/2020
2019;Máster: Abogacía;Zaragoza;Facultad de Derecho;Facultad;Máster;100;75;144;75.00;15/11/2020
2019;Máster: Estudios Avanzados sobre el Lenguaje, la Comunicación y sus Patologías;Huesca;Facultad de Ciencias Humanas y de la Educación;Facultad;Máster;20;19;94;95.00;15/11/2020
2019;Máster: Ingeniería Química;Zaragoza;Escuela de Ingeniería y Arquitectura;Facultad;Máster;40;25;39;62.50;15/11/2020
2019;Máster: Ingeniería Industrial;Zaragoza;Escuela de Ingeniería y Arquitectura;Facultad;Máster;240;86;143;35.83;15/11/2020
2019;Máster: Ingeniería de Telecomunicación;Zaragoza;Escuela de Ingeniería y Arquitectura;Facultad;Máster;60;13;19;21.67;15/11/2020
2019;Máster: Ingeniería Informática;Zaragoza;Escuela de Ingeniería y Arquitectura;Facultad;Máster;60;16;33;26.67;15/11/2020
2019;Máster: Ingeniería Mecánica;Zaragoza;Escuela de Ingeniería y Arquitectura;Facultad;Máster;30;12;25;40.00;15/11/2020
2019;Máster: Química Industrial;Zaragoza;Facultad de Ciencias;Facultad;Máster;50;15;31;30.00;15/11/2020
2019;Máster: Geología: Técnicas y Aplicaciones;Zaragoza;Facultad de Ciencias;Facultad;Máster;30;8;14;26.67;15/11/2020
2019;Máster: Química Molecular y Catálisis Homogénea;Zaragoza;Facultad de Ciencias;Facultad;Máster;25;11;35;44.00;15/11/2020
2019;Máster: Auditoría;Zaragoza;Facultad de Economía y Empresa;Facultad;Máster;32;27;80;84.38;15/11/2020
2019;Máster: Ingeniería Agronómica;Huesca;Escuela Politécnica Superior;Facultad;Máster;40;10;18;25.00;15/11/2020
2019;Máster: Evaluación y Entrenamiento Físico para la Salud;Huesca;Facultad de Ciencias de la Salud y del Deporte;Facultad;Máster;20;17;41;85.00;15/11/2020
2019;Máster: Mundo Antiguo y Patrimonio Arqueológico;Zaragoza;Facultad de Filosofía y Letras;Facultad;Máster;30;8;22;26.67;15/11/2020
2019;Máster: Iniciación a la Investigación en Ciencias de la Enfermería;Zaragoza;Facultad de Ciencias de la Salud;Facultad;Máster;30;19;49;63.33;15/11/2020
2019;Máster: Dirección, Estrategia y Marketing;Zaragoza;Facultad de Economía y Empresa;Facultad;Máster;30;17;111;56.67;15/11/2020
2019;Máster: Psicología General Sanitaria;Teruel;Facultad de Ciencias Sociales y Humanas de Teruel;Facultad;Máster;30;30;221;100.00;15/11/2020
2019;Máster: Ingeniería de Diseño de Producto;Zaragoza;Escuela de Ingeniería y Arquitectura;Facultad;Máster;30;17;35;56.67;15/11/2020
2019;Máster: Consultoría de Información y Comunicación Digital;Zaragoza;Facultad de Filosofía y Letras;Facultad;Máster;25;18;36;72.00;15/11/2020
2019;Máster: Calidad, Seguridad y Tecnología de los Alimentos;Zaragoza;Facultad de Veterinaria;Facultad;Máster;30;30;80;100.00;15/11/2020
2019;Máster: Biotecnología Cuantitativa;Zaragoza;Facultad de Ciencias;Facultad;Máster;20;4;17;20.00;15/11/2020
2019;Máster: Gestión Administrativa;Zaragoza;Facultad de Derecho;Facultad;Máster;30;9;42;30.00;15/11/2020
2019;Máster: Investigación en Filosofía;Zaragoza;Facultad de Filosofía y Letras;Facultad;Máster;12;8;23;66.67;15/11/2020
2019;Doctorado: PD Ciencias de la antigüedad [RD 99/2011];Zaragoza;Escuela de Doctorado;Facultad;Doctorado;30;4;4;13.33;15/11/2020
2019;Doctorado: PD Estudios ingleses [RD 99/2011];Zaragoza;Escuela de Doctorado;Facultad;Doctorado;12;12;12;100.00;15/11/2020
2019;Doctorado: PD Literaturas hispánicas [RD 99/2011];Zaragoza;Escuela de Doctorado;Facultad;Doctorado;20;3;4;15.00;15/11/2020
2019;Doctorado: PD Filosofía [RD 99/2011];Zaragoza;Escuela de Doctorado;Facultad;Doctorado;8;4;7;50.00;15/11/2020
2019;Doctorado: PD Historia contemporánea [RD 99/2011];Zaragoza;Escuela de Doctorado;Facultad;Doctorado;15;4;7;26.67;15/11/2020
2019;Máster: Dirección y Gestión de Adquisiciones de Sistemas para la Defensa;Zaragoza;Centro Universitario de la Defensa de Zaragoza;Centro adscrito;Máster;25;21;30;84.00;15/11/2020
2019;Doctorado: PD Historia del arte [RD 99/2011];Zaragoza;Escuela de Doctorado;Facultad;Doctorado;20;7;10;35.00;15/11/2020
2019;Doctorado: PD Historia, sociedad y cultura: épocas medieval y moderna [RD 99/2011];Zaragoza;Escuela de Doctorado;Facultad;Doctorado;8;8;10;100.00;15/11/2020
2019;Doctorado: PD Lingüística hispánica [RD 99/2011];Zaragoza;Escuela de Doctorado;Facultad;Doctorado;25;3;5;12.00;15/11/2020
2019;Doctorado: PD Bioquímica y biología molecular [RD 99/2011];Zaragoza;Escuela de Doctorado;Facultad;Doctorado;30;21;26;70.00;15/11/2020
2019;Doctorado: PD Calidad, seguridad y tecnología de los alimentos [RD 99/2011];Zaragoza;Escuela de Doctorado;Facultad;Doctorado;20;8;10;40.00;15/11/2020
2019;Doctorado: PD Ciencia analítica en química [RD 99/2011];Zaragoza;Escuela de Doctorado;Facultad;Doctorado;20;5;9;25.00;15/11/2020
2019;Doctorado: PD Física [RD 99/2011];Zaragoza;Escuela de Doctorado;Facultad;Doctorado;50;16;24;32.00;15/11/2020
2019;Doctorado: PD Geología [RD 99/2011];Zaragoza;Escuela de Doctorado;Facultad;Doctorado;11;6;13;54.55;15/11/2020
2019;Doctorado: PD Matemáticas y estadística [RD 99/2011];Zaragoza;Escuela de Doctorado;Facultad;Doctorado;5;3;3;60.00;15/11/2020
2019;Doctorado: PD Producción animal [RD 99/2011];Zaragoza;Escuela de Doctorado;Facultad;Doctorado;6;2;5;33.33;15/11/2020
2019;Máster: Derecho de la Administración Pública;Zaragoza;Facultad de Derecho;Facultad;Máster;20;20;48;100.00;15/11/2020
2019;Doctorado: PD Química física [RD 99/2011];Zaragoza;Escuela de Doctorado;Facultad;Doctorado;10;2;2;20.00;15/11/2020
2019;Doctorado: PD Química inorgánica [RD 99/2011];Zaragoza;Escuela de Doctorado;Facultad;Doctorado;18;7;8;38.89;15/11/2020
2019;Doctorado: PD Química orgánica [RD 99/2011];Zaragoza;Escuela de Doctorado;Facultad;Doctorado;12;6;13;50.00;15/11/2020
2019;Doctorado: PD Ciencias biomédicas y biotecnológicas [RD 99/2011];Zaragoza;Escuela de Doctorado;Facultad;Doctorado;20;11;15;55.00;15/11/2020
2019;Doctorado: PD Ciencias de la salud y del deporte [RD 99/2011];Zaragoza;Escuela de Doctorado;Facultad;Doctorado;30;25;35;83.33;15/11/2020
2019;Doctorado: PD Medicina [RD 99/2011];Zaragoza;Escuela de Doctorado;Facultad;Doctorado;75;75;85;100.00;15/11/2020
2019;Doctorado: PD Medicina y sanidad animal [RD 99/2011];Zaragoza;Escuela de Doctorado;Facultad;Doctorado;15;14;18;93.33;15/11/2020
2019;Doctorado: PD Contabilidad y finanzas [RD 99/2011];Zaragoza;Escuela de Doctorado;Facultad;Doctorado;20;5;11;25.00;15/11/2020
2019;Doctorado: PD Derecho [RD 99/2011];Zaragoza;Escuela de Doctorado;Facultad;Doctorado;20;29;41;145.00;15/11/2020
2019;Doctorado: PD Derechos humanos y libertades fundamentales [RD 99/2011];Zaragoza;Escuela de Doctorado;Facultad;Doctorado;10;12;15;120.00;15/11/2020
2019;Máster: Programa conjunto en Máster Universitario en Ingeniería Industrial-Máster Universitario en Ingeniería Mecánica;Zaragoza;Escuela de Ingeniería y Arquitectura;Facultad;Máster;6;5;11;83.33;15/11/2020
2019;Doctorado: PD Economía [RD 99/2011];Zaragoza;Escuela de Doctorado;Facultad;Doctorado;15;8;10;53.33;15/11/2020
2019;Doctorado: PD Economía y gestión de las organizaciones [RD 99/2011];Zaragoza;Escuela de Doctorado;Facultad;Doctorado;20;13;24;65.00;15/11/2020
2019;Doctorado: PD Educación [RD 99/2011];Zaragoza;Escuela de Doctorado;Facultad;Doctorado;25;25;47;100.00;15/11/2020
2019;Doctorado: PD Ordenación del territorio y medio ambiente [RD 99/2011];Zaragoza;Escuela de Doctorado;Facultad;Doctorado;25;3;11;12.00;15/11/2020
2019;Doctorado: PD Relaciones de género y estudios feministas [RD 99/2011];Zaragoza;Escuela de Doctorado;Facultad;Doctorado;30;2;6;6.67;15/11/2020
2019;Doctorado: PD Sociología de las políticas públicas y sociales [RD 99/2011];Zaragoza;Escuela de Doctorado;Facultad;Doctorado;20;8;13;40.00;15/11/2020
2019;Doctorado: PD Ciencias agrarias y del medio natural [RD 99/2011];Zaragoza;Escuela de Doctorado;Facultad;Doctorado;30;8;12;26.67;15/11/2020
2019;Doctorado: PD Energías renovables y eficiencia energética [RD 99/2011];Zaragoza;Escuela de Doctorado;Facultad;Doctorado;20;5;11;25.00;15/11/2020
2019;Doctorado: PD Ingeniería biomédica [RD 99/2011];Zaragoza;Escuela de Doctorado;Facultad;Doctorado;10;15;16;150.00;15/11/2020
2019;Doctorado: PD Ingeniería de diseño y fabricación [RD 99/2011];Zaragoza;Escuela de Doctorado;Facultad;Doctorado;25;13;17;52.00;15/11/2020
2019;Máster: Programa conjunto en Máster Universitario en Ingeniería Industrial-Máster Universitario en Energías Renovables y Eficiencia Energética;Zaragoza;Escuela de Ingeniería y Arquitectura;Facultad;Máster;9;9;21;100.00;15/11/2020
2019;Doctorado: PD Ingeniería de sistemas e informática [RD 99/2011];Zaragoza;Escuela de Doctorado;Facultad;Doctorado;30;20;30;66.67;15/11/2020
2019;Doctorado: PD Ingeniería electrónica [RD 99/2011];Zaragoza;Escuela de Doctorado;Facultad;Doctorado;10;6;7;60.00;15/11/2020
2019;Doctorado: PD Ingeniería mecánica [RD 99/2011];Zaragoza;Escuela de Doctorado;Facultad;Doctorado;25;20;22;80.00;15/11/2020
2019;Doctorado: PD Ingeniería química y del medio ambiente [RD 99/2011];Zaragoza;Escuela de Doctorado;Facultad;Doctorado;60;20;26;33.33;15/11/2020
2019;Doctorado: PD Mecánica de fluidos [RD 99/2011];Zaragoza;Escuela de Doctorado;Facultad;Doctorado;3;4;4;133.33;15/11/2020
2019;Doctorado: PD Nuevos territorios en la arquitectura [RD 99/2011];Zaragoza;Escuela de Doctorado;Facultad;Doctorado;10;3;5;30.00;15/11/2020
2019;Doctorado: PD Tecnologías de la información y comunicaciones en redes moviles [RD 99/2011];Zaragoza;Escuela de Doctorado;Facultad;Doctorado;10;6;7;60.00;15/11/2020
2019;Doctorado: PD Información y Comunicación [RD 99/2011];Zaragoza;Escuela de Doctorado;Facultad;Doctorado;6;6;8;100.00;15/11/2020
2019;Doctorado: PD Patrimonio, Sociedades y Espacios de Frontera [RD 99/2011];Zaragoza;Escuela de Doctorado;Facultad;Doctorado;8;6;7;75.00;15/11/2020
2019;Doctorado: PD Logística y gestión de la cadena de suministro [RD 99/2011];Zaragoza;Escuela de Doctorado;Facultad;Doctorado;8;3;3;37.50;15/11/2020
2019;Máster: Programa conjunto en Máster Universitario en Ingeniería Industrial-Máster Universitario en Ingeniería Electrónica;Zaragoza;Escuela de Ingeniería y Arquitectura;Facultad;Máster;6;6;11;100.00;15/11/2020
