CURSO_ACADEMICO;CENTRO;ESTUDIO;TIPO_ESTUDIO;ALUMNOS_MATRICULADOS;ALUMNOS_NUEVO_INGRESO;PLAZAS_OFERTADAS;ALUMNOS_GRADUADOS;ALUMNOS_ADAPTA_GRADO_MATRI;ALUMNOS_ADAPTA_GRADO_MATRI_NI;ALUMNOS_ADAPTA_GRADO_TITULADO;ALUMNOS_CON_RECONOCIMIENTO;ALUMNOS_MOVILIDAD_ENTRADA;ALUMNOS_MOVILIDAD_SALIDA;CREDITOS_MATRICULADOS;CREDITOS_RECONOCIDOS;DURACION_MEDIA_GRADUADOS;TASA_EXITO;TASA_RENDIMIENTO;TASA_EFICIENCIA;TASA_ABANDONO;TASA_GRADUACION;FECHA_ACTUALIZACION
2020;Centro Universitario de la Defensa de Zaragoza;1-Ingeniería de Organización Industrial;Grado;1210;300;303;180;0;0;0;124;;0;59163.00;1708.50;5.43;88.06;87.81;91.21;;;04/09/2022
2020;Escuela de Ingeniería y Arquitectura;1-Ingeniería de Tecnologías Industriales;Grado;714;169;180;127;0;0;0;162;17;53;40321.00;947.00;5.18;76.08;62.45;80.45;;;04/09/2022
2020;Escuela de Ingeniería y Arquitectura;1-Ingeniería de Tecnologías y Servicios de Telecomunicación;Grado;274;86;90;42;0;0;0;68;1;4;15025.00;840.00;5.11;72.76;52.29;81.36;;;04/09/2022
2020;Escuela de Ingeniería y Arquitectura;1-Ingeniería Electrica;Grado;240;60;90;39;0;0;0;57;3;4;12035.00;825.50;5.63;74.36;53.89;78.46;;;04/09/2022
2020;Escuela de Ingeniería y Arquitectura;1-Ingeniería Electrónica y Automática;Grado;374;94;120;43;0;0;0;74;7;8;20239.50;929.50;6.00;71.55;51.53;74.40;;;04/09/2022
2020;Escuela Universitaria Politécnica de Teruel;1-Ingeniería Electrónica y Automática;Grado;86;24;29;17;0;0;0;29;;0;4354.00;617.50;5.86;85.64;72.43;77.11;;;04/09/2022
2020;Escuela de Ingeniería y Arquitectura;1-Ingeniería Informática;Grado;457;110;102;67;0;0;0;108;7;8;25056.00;1008.00;4.88;86.64;74.82;86.52;;;04/09/2022
2020;Escuela Universitaria Politécnica de Teruel;1-Ingeniería Informática;Grado;121;32;33;15;0;0;0;35;;1;6328.00;328.00;5.69;76.45;62.64;80.71;;;04/09/2022
2020;Escuela de Ingeniería y Arquitectura;1-Ingeniería Mecánica;Grado;818;178;225;119;1;0;0;188;15;23;41853.50;2713.50;5.60;72.22;55.47;78.00;;;04/09/2022
2020;Escuela Universitaria Politécnica de la Almunia de Doña Godina;1-Ingeniería Mecatrónica;Grado;253;47;56;35;0;0;0;68;;6;12700.00;880.00;5.30;84.43;65.44;85.98;;;04/09/2022
2020;Escuela de Ingeniería y Arquitectura;1-Ingeniería Química;Grado;289;68;90;50;1;0;0;64;2;6;15308.00;686.50;5.39;77.08;64.26;80.44;;;04/09/2022
2020;Facultad de Filosofía y Letras;1-Lenguas Modernas;Grado;208;55;55;35;0;0;0;5;55;4;11461.00;108.50;4.37;86.19;74.56;93.13;;;04/09/2022
2020;Facultad de Derecho;1-Programa conjunto en Derecho-Administración y Dirección de Empresas;Grado;449;80;80;0;0;0;0;72;2;45;30577.50;184.50;;95.69;91.93;;;;04/09/2022
2020;Escuela de Ingeniería y Arquitectura;1-Estudios en Arquitectura;Grado;315;69;70;39;0;0;0;67;7;26;18277.50;788.50;6.06;80.59;67.96;86.28;;;04/09/2022
2020;Facultad de Ciencias;1-Programa conjunto Física-Matemáticas (FisMat);Grado;46;10;10;;0;0;;13;;0;3424.00;182.50;;99.02;97.83;;;;04/09/2022
2020;Facultad de Ciencias de la Salud y del Deporte;1-Programa conjunto en Nutrición Humana y Dietética-Ciencias de la Actividad Física y del Deporte;Grado;19;10;10;;0;0;;2;;0;1476.00;180.00;;96.46;95.93;;;;04/09/2022
2020;Escuela de Ingeniería y Arquitectura;1-Programa conjunto en Matemáticas-Ingeniería Informática;Grado;18;10;10;;0;0;;0;;0;1356.00;0.00;;92.26;92.26;;;;04/09/2022
2020;Escuela Universitaria Politécnica de la Almunia de Doña Godina;1-Programa conjunto en Ingeniería Mecatrónica-Ingeniería de Organización  Industrial;Grado;20;10;10;;0;0;;3;;0;1350.00;120.00;;89.90;79.11;;;;04/09/2022
2020;Facultad de Ciencias Sociales y Humanas de Teruel;1-Psicología;Grado;87;82;85;;0;0;;13;;0;5004.00;217.00;;89.56;88.49;;;;04/09/2022
2020;Facultad de Economía y Empresa;5-Ciencias Económicas;Licenciatura o equivalente;;;;0;;;0;;;;;;;;;;;;04/09/2022
2020;Facultad de Derecho;5-Derecho;Licenciatura o equivalente;;;;0;;;0;;;;;;;;;;;;04/09/2022
2020;Facultad de Economía y Empresa;6-Diplomado Ciencias Empresariales;Diplomatura o equivalente;;;;0;;;0;;;;;;;;;;;;04/09/2022
2020;Facultad de Ciencias;6-Estadística;Diplomatura o equivalente;;;;0;;;0;;;;;;;;;;;;04/09/2022
2020;Facultad de Ciencias;5-Físicas;Licenciatura o equivalente;;;;0;;;0;;;;;;;;;;;;04/09/2022
2020;Facultad de Ciencias;5-Geológicas;Licenciatura o equivalente;;;;0;;;0;;;;;;;;;;;;04/09/2022
2020;Escuela Universitaria de Estudios Sociales;6-Graduado Social;Diplomatura o equivalente;;;;0;;;0;;;;;;;;;;;;04/09/2022
2020;Centro Politécnico Superior;5-Ingeniero Industrial;Licenciatura o equivalente;;;;0;;;0;;;;;;;;;;;;04/09/2022
2020;Escuela Universitaria de Ingeniería Técnica Industrial;6-Ingeniero Técnico en Electrónica Industrial;Diplomatura o equivalente;;;;0;;;0;;;;;;;;;;;;04/09/2022
2020;Facultad de Ciencias;5-Matemáticas;Licenciatura o equivalente;;;;0;;;0;;;;;;;;;;;;04/09/2022
2020;Facultad de Ciencias Sociales y del Trabajo;6-Trabajo Social;Diplomatura o equivalente;;;;0;;;0;;;;;;;;;;;;04/09/2022
2020;Facultad de Filosofía y Letras;5-Filología Inglesa;Licenciatura o equivalente;;;;0;;;0;;;;;;;;;;;;04/09/2022
2020;Escuela Universitaria de Ingeniería Técnica Industrial;6-Ingeniero Técnico Industrial;Diplomatura o equivalente;;;;0;;;0;;;;;;;;;;;;04/09/2022
2020;Facultad de Ciencias;4-Movilidad para 1º y 2º ciclo y grado;Movilidad de entrada;10;0;;;0;0;;0;22;0;394.50;0.00;;;;;;;04/09/2022
2020;Facultad de Derecho;4-Movilidad para 1º y 2º ciclo y grado;Movilidad de entrada;24;0;;;0;0;;0;;0;824.00;0.00;;;;;;;04/09/2022
2020;Facultad de Filosofía y Letras;4-Movilidad para 1º y 2º ciclo y grado;Movilidad de entrada;110;0;;;0;0;;0;;0;4273.00;0.00;;;;;;;04/09/2022
2020;Facultad de Medicina;4-Movilidad para 1º y 2º ciclo y grado;Movilidad de entrada;38;0;;;0;0;;0;;0;2440.00;0.00;;;;;;;04/09/2022
2020;Facultad de Veterinaria;4-Movilidad para 1º y 2º ciclo y grado;Movilidad de entrada;19;0;;;0;0;;0;;0;964.00;0.00;;;;;;;04/09/2022
2020;Facultad de Educación;4-Movilidad para 1º y 2º ciclo y grado;Movilidad de entrada;8;0;;;0;0;;0;;0;358.00;0.00;;;;;;;04/09/2022
2020;Facultad de Ciencias Sociales y del Trabajo;4-Movilidad para 1º y 2º ciclo y grado;Movilidad de entrada;9;0;;;0;0;;0;;0;268.00;0.00;;;;;;;04/09/2022
2020;Facultad de Economía y Empresa;4-Movilidad para 1º y 2º ciclo y grado;Movilidad de entrada;94;0;;;0;0;;0;;0;2994.00;0.00;;;;;;;04/09/2022
2020;Escuela de Ingeniería y Arquitectura;4-Movilidad para 1º y 2º ciclo y grado;Movilidad de entrada;54;0;;;0;0;;0;;0;1909.00;0.00;;100.00;100.00;;;;04/09/2022
2020;Facultad de Ciencias de la Salud;4-Movilidad para 1º y 2º ciclo y grado;Movilidad de entrada;2;0;;;0;0;;0;;0;98.00;0.00;;;;;;;04/09/2022
2020;UNITA;4-Movilidad para 1º y 2º ciclo y grado;Movilidad de entrada;20;0;;;0;0;;0;;0;0.00;0.00;;;;;;;04/09/2022
2020;Escuela Universitaria Politécnica de la Almunia de Doña Godina;4-Movilidad para 1º y 2º ciclo y grado;Movilidad de entrada;11;0;;;0;0;;0;;0;341.00;0.00;;;;;;;04/09/2022
2020;Escuela Universitaria de Turismo de Zaragoza;4-Movilidad para 1º y 2º ciclo y grado;Movilidad de entrada;2;0;;;0;0;;0;;0;77.00;0.00;;;;;;;04/09/2022
2020;Escuela Politécnica Superior;4-Movilidad para 1º y 2º ciclo y grado;Movilidad de entrada;6;0;;;0;0;;0;;0;159.00;0.00;;;;;;;04/09/2022
2020;Facultad de Ciencias Humanas y de la Educación;4-Movilidad para 1º y 2º ciclo y grado;Movilidad de entrada;1;0;;;0;0;;0;;0;24.00;0.00;;;;;;;04/09/2022
2020;Facultad de Empresa y Gestión Pública;4-Movilidad para 1º y 2º ciclo y grado;Movilidad de entrada;9;0;;;0;0;;0;;0;398.00;0.00;;;;;;;04/09/2022
2020;Facultad de Ciencias de la Salud y del Deporte;4-Movilidad para 1º y 2º ciclo y grado;Movilidad de entrada;6;0;;;0;0;;0;;0;247.00;0.00;;;;;;;04/09/2022
2020;Escuela Universitaria de Enfermería San Jorge de Huesca;4-Movilidad para 1º y 2º ciclo y grado;Movilidad de entrada;1;0;;;0;0;;0;;0;34.00;0.00;;;;;;;04/09/2022
2020;Facultad de Ciencias Sociales y Humanas de Teruel;4-Movilidad para 1º y 2º ciclo y grado;Movilidad de entrada;19;0;;;0;0;;0;;0;572.00;0.00;;;;;;;04/09/2022
2020;Facultad de Ciencias Sociales y Humanas de Teruel;6-Maestro Lengua Extranjera;Diplomatura o equivalente;;;;0;;;0;;;;;;;;;;;;04/09/2022
2020;Facultad de Economía y Empresa;5-Licenciado en Economía;Licenciatura o equivalente;;;;0;;;0;;;;;;;;;;;;04/09/2022
