CURSO_ACADEMICO;LOCALIDAD;ESTUDIO;TIPO_ESTUDIO;TIPO_EGRESO;SEXO;ALUMNOS_GRADUADOS;ALUMNOS_INTERRUMPEN_ESTUDIOS;ALUMNOS_INTERRUMPEN_EST_ANO1;ALUMNOS_TRASLADAN_OTRA_UNIV;DURACION_MEDIA_GRADUADOS;TASA_EFICIENCIA;FECHA_ACTUALIZACION
2019;Huesca;Grado: Ingeniería Agroalimentaria y del Medio Rural;Grado;Graduado;Mujeres;7;0;0;0;5.33;78.68;12/09/2021
2019;Huesca;Grado: Magisterio en Educación Infantil;Grado;Abandono Voluntario;Hombres;0;5;1;0;;;12/09/2021
2019;Huesca;Grado: Magisterio en Educación Infantil;Grado;Abandono Voluntario;Mujeres;0;19;6;0;;;12/09/2021
2019;Huesca;Grado: Magisterio en Educación Infantil;Grado;Cambio de estudios sin simultaneidad;Hombres;0;2;2;0;;;12/09/2021
2019;Huesca;Grado: Magisterio en Educación Infantil;Grado;Graduado;Hombres;7;0;0;0;4.50;92.31;12/09/2021
2019;Huesca;Grado: Magisterio en Educación Infantil;Grado;Graduado;Mujeres;106;0;0;0;4.79;89.82;12/09/2021
2019;Huesca;Grado: Magisterio en Educación Infantil;Grado;Incumple Régimen de permanencia;Hombres;0;1;0;0;;;12/09/2021
2019;Huesca;Grado: Magisterio en Educación Primaria;Grado;Abandono Voluntario;Hombres;0;21;7;0;;;12/09/2021
2019;Huesca;Grado: Magisterio en Educación Primaria;Grado;Abandono Voluntario;Mujeres;0;12;2;0;;;12/09/2021
2019;Huesca;Grado: Magisterio en Educación Primaria;Grado;Cambio de estudios sin simultaneidad;Hombres;0;1;1;0;;;12/09/2021
2019;Huesca;Grado: Magisterio en Educación Primaria;Grado;Graduado;Hombres;48;0;0;0;5.07;82.08;12/09/2021
2019;Huesca;Grado: Magisterio en Educación Primaria;Grado;Graduado;Mujeres;57;0;0;0;4.50;91.40;12/09/2021
2019;Huesca;Grado: Nutrición Humana y Dietética;Grado;Abandono Voluntario;Hombres;0;5;2;0;;;12/09/2021
